Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1.0,1.0,6.0,9500.0,1.0,1.0,122.0,1.0,19.0,37.0,3.0,5.0,116.6,1.0,0.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,7.0,7.0,7.0,13.31428571,0.0,0.0,8.0,8.0,8.0,12.575,0.0,12.4,0.5,1.79,3.0
1.0,17.0,2.0,9070.0,1.0,1.0,142.0,1.0,3.0,1.0,2.0,4.0,141.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,13.0,0.0,0.0,6.0,8.0,1.0,10.0,0.0,10.8,1.4,1.74,2.0
1.0,1.0,4.0,9238.0,1.0,1.0,125.0,1.0,19.0,38.0,9.0,6.0,114.9,1.0,0.0,1.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,9.0,5.0,11.4,0.0,0.0,6.0,9.0,3.0,10.0,0.0,8.9,1.4,3.51,2.0
1.0,1.0,1.0,171.0,1.0,1.0,141.0,1.0,3.0,1.0,4.0,4.0,142.8,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,3.0
1.0,43.0,1.0,9119.0,1.0,1.0,130.0,1.0,1.0,1.0,9.0,2.0,128.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,13.9,-0.3,0.79,2.0
1.0,17.0,1.0,9670.0,1.0,1.0,118.0,1.0,1.0,19.0,4.0,8.0,118.7,0.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,6.0,7.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,14.0,0.0,12.4,0.5,1.79,3.0
1.0,43.0,1.0,9070.0,1.0,1.0,117.0,1.0,1.0,1.0,4.0,7.0,112.5,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,3.0,6.0,7.0,3.0,11.66666667,0.0,1.0,6.0,13.0,4.0,10.33333333,0.0,13.9,-0.3,0.79,2.0
1.0,17.0,2.0,9500.0,1.0,1.0,134.0,1.0,19.0,37.0,4.0,7.0,133.5,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,8.0,7.0,14.05,0.0,0.0,8.0,8.0,8.0,15.1,0.0,13.9,-0.3,0.79,3.0
1.0,44.0,1.0,9003.0,1.0,39.0,160.0,1.0,1.0,38.0,4.0,4.0,160.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,9.0,6.0,13.44444444,0.0,0.0,6.0,9.0,5.0,12.6,0.0,13.9,-0.3,0.79,3.0
1.0,39.0,1.0,171.0,1.0,1.0,145.0,1.0,3.0,1.0,2.0,10.0,114.5,1.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,3.0
1.0,18.0,1.0,9500.0,1.0,1.0,124.0,1.0,38.0,37.0,9.0,7.0,119.3,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,8.0,8.0,13.11625,0.0,0.0,8.0,8.0,8.0,13.11625,0.0,9.4,-0.8,-3.12,3.0
1.0,1.0,1.0,171.0,1.0,1.0,137.0,1.0,3.0,19.0,2.0,9.0,122.3,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,1.0
1.0,43.0,1.0,8014.0,0.0,1.0,145.7,22.0,37.0,37.0,9.0,9.0,145.7,1.0,0.0,0.0,1.0,0.0,0.0,25.0,1.0,8.0,16.0,16.0,15.0,13.33333333,0.0,11.0,13.0,13.0,11.0,12.27272727,0.0,13.9,-0.3,0.79,3.0
1.0,17.0,2.0,9500.0,1.0,1.0,125.0,1.0,19.0,19.0,5.0,5.0,114.5,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,11.0,6.0,11.98333333,0.0,0.0,8.0,12.0,8.0,12.28125,0.0,16.2,0.3,-0.92,3.0
1.0,39.0,1.0,9991.0,0.0,1.0,133.1,1.0,37.0,37.0,9.0,9.0,109.7,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,1.0
1.0,39.0,1.0,9500.0,1.0,1.0,140.0,1.0,3.0,3.0,1.0,1.0,140.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,8.0,8.0,8.0,13.385,0.0,0.0,8.0,8.0,8.0,13.385,0.0,9.4,-0.8,-3.12,3.0
1.0,1.0,2.0,9500.0,1.0,1.0,123.0,1.0,19.0,19.0,7.0,7.0,120.8,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,11.0,7.0,12.54571429,0.0,0.0,8.0,11.0,7.0,12.54571429,0.0,10.8,1.4,1.74,3.0
1.0,17.0,3.0,9147.0,1.0,1.0,142.0,1.0,37.0,38.0,5.0,1.0,129.4,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,5.0,5.0,13.2,0.0,0.0,5.0,6.0,4.0,12.5,0.0,9.4,-0.8,-3.12,3.0
1.0,17.0,6.0,9147.0,1.0,1.0,129.0,1.0,19.0,1.0,9.0,4.0,122.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,5.0,8.0,5.0,11.6,1.0,0.0,5.0,10.0,4.0,10.75,0.0,9.4,-0.8,-3.12,3.0
4.0,39.0,1.0,8014.0,0.0,1.0,160.0,1.0,37.0,37.0,3.0,4.0,97.0,0.0,0.0,0.0,1.0,0.0,1.0,35.0,0.0,0.0,6.0,9.0,6.0,11.33333333,0.0,0.0,6.0,6.0,6.0,11.33333333,0.0,15.5,2.8,-4.06,3.0
1.0,1.0,1.0,9130.0,1.0,1.0,161.0,1.0,1.0,19.0,4.0,4.0,152.3,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,7.0,6.0,15.57142857,0.0,0.0,6.0,7.0,6.0,14.71428571,0.0,11.1,0.6,2.02,3.0
1.0,1.0,1.0,9254.0,1.0,1.0,127.0,1.0,19.0,19.0,4.0,6.0,120.7,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,6.0,10.0,5.0,11.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,10.8,1.4,1.74,1.0
1.0,43.0,1.0,9773.0,1.0,1.0,121.0,1.0,1.0,1.0,4.0,5.0,121.0,1.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,0.0,6.0,15.0,1.0,13.0,0.0,0.0,6.0,8.0,4.0,11.25,0.0,9.4,-0.8,-3.12,2.0
1.0,43.0,1.0,9556.0,1.0,1.0,126.0,1.0,2.0,3.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,2.0,7.0,10.0,3.0,13.0,0.0,1.0,8.0,10.0,3.0,11.66666667,4.0,10.8,1.4,1.74,2.0
1.0,17.0,3.0,9853.0,1.0,1.0,133.1,1.0,12.0,1.0,4.0,0.0,134.8,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,7.6,2.6,0.32,1.0
1.0,17.0,1.0,9773.0,1.0,1.0,122.0,1.0,1.0,1.0,4.0,7.0,116.8,1.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,11.66666667,0.0,0.0,6.0,6.0,6.0,12.33333333,0.0,16.2,0.3,-0.92,3.0
1.0,7.0,1.0,9147.0,1.0,2.0,150.0,1.0,3.0,37.0,2.0,5.0,150.0,1.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.5,2.8,-4.06,1.0
1.0,43.0,1.0,9147.0,1.0,1.0,129.0,1.0,19.0,1.0,9.0,5.0,112.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,5.0,9.0,9.0,5.0,11.2,0.0,5.0,9.0,14.0,7.0,11.25,2.0,12.7,3.7,-1.7,1.0
1.0,43.0,1.0,9991.0,0.0,1.0,133.1,1.0,37.0,19.0,3.0,10.0,136.1,0.0,0.0,0.0,1.0,1.0,1.0,42.0,0.0,0.0,5.0,14.0,1.0,10.0,0.0,0.0,5.0,14.0,1.0,11.0,0.0,13.9,-0.3,0.79,1.0
1.0,44.0,1.0,171.0,1.0,39.0,150.0,1.0,4.0,4.0,2.0,2.0,150.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,3.0
1.0,1.0,1.0,9238.0,1.0,1.0,125.0,1.0,19.0,19.0,9.0,9.0,121.5,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,9.0,6.0,10.85714286,0.0,0.0,6.0,7.0,6.0,11.66666667,0.0,12.4,0.5,1.79,3.0
1.0,17.0,2.0,9238.0,1.0,1.0,111.0,1.0,19.0,38.0,9.0,9.0,110.7,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,9.0,6.0,12.16666667,0.0,0.0,6.0,9.0,6.0,11.0,0.0,8.9,1.4,3.51,3.0
1.0,44.0,1.0,9085.0,1.0,39.0,150.0,6.0,5.0,4.0,1.0,1.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,2.0,6.0,7.0,6.0,13.33333333,0.0,1.0,6.0,16.0,5.0,13.375,0.0,12.4,0.5,1.79,3.0
1.0,17.0,3.0,9085.0,1.0,1.0,128.0,1.0,1.0,19.0,4.0,90.0,124.2,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,8.0,2.0,11.5,0.0,0.0,5.0,7.0,2.0,10.5,0.0,7.6,2.6,0.32,1.0
1.0,1.0,4.0,9773.0,1.0,1.0,133.0,1.0,19.0,19.0,7.0,7.0,134.4,1.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,6.0,6.0,12.16666667,0.0,0.0,6.0,8.0,4.0,12.75,0.0,9.4,-0.8,-3.12,3.0
1.0,17.0,1.0,9991.0,0.0,40.0,127.0,1.0,37.0,37.0,6.0,6.0,124.9,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,5.0,10.0,5.0,13.57142857,0.0,0.0,5.0,14.0,5.0,12.33333333,3.0,16.2,0.3,-0.92,3.0
1.0,39.0,1.0,9238.0,1.0,1.0,140.0,1.0,34.0,34.0,0.0,0.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,6.0,11.0,1.0,13.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,9.4,-0.8,-3.12,1.0
1.0,53.0,1.0,9085.0,1.0,42.0,150.0,1.0,1.0,19.0,3.0,8.0,150.3,1.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,7.0,11.0,15.0,9.0,14.22222222,0.0,4.0,9.0,15.0,7.0,13.75,0.0,8.9,1.4,3.51,3.0
1.0,1.0,1.0,9147.0,1.0,1.0,177.0,1.0,1.0,38.0,3.0,9.0,162.3,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,5.0,6.0,5.0,16.33333333,0.0,0.0,5.0,5.0,5.0,15.4,0.0,15.5,2.8,-4.06,3.0
1.0,44.0,1.0,9003.0,1.0,39.0,130.0,1.0,1.0,37.0,6.0,6.0,130.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,14.0,5.0,11.71428571,0.0,0.0,6.0,15.0,5.0,12.0,0.0,16.2,0.3,-0.92,3.0
1.0,1.0,6.0,9500.0,1.0,1.0,138.0,1.0,1.0,38.0,3.0,9.0,123.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,10.0,5.0,13.44,0.0,0.0,7.0,8.0,6.0,13.06666667,0.0,12.4,0.5,1.79,2.0
2.0,39.0,1.0,9991.0,0.0,3.0,140.0,1.0,19.0,19.0,9.0,7.0,152.4,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,5.0,5.0,5.0,12.0,0.0,0.0,5.0,6.0,5.0,14.83333333,0.0,10.8,1.4,1.74,3.0
1.0,17.0,1.0,171.0,1.0,1.0,143.0,1.0,19.0,37.0,5.0,9.0,156.3,1.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,3.0
1.0,17.0,1.0,9254.0,1.0,1.0,125.0,1.0,1.0,1.0,3.0,3.0,114.5,0.0,0.0,0.0,1.0,1.0,1.0,22.0,0.0,0.0,6.0,8.0,6.0,13.625,0.0,0.0,6.0,8.0,6.0,14.42857143,0.0,11.1,0.6,2.02,3.0
2.0,39.0,1.0,9119.0,1.0,1.0,110.0,1.0,19.0,19.0,0.0,5.0,137.0,0.0,0.0,1.0,1.0,1.0,0.0,30.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,1.0
1.0,43.0,1.0,9147.0,1.0,1.0,123.0,1.0,3.0,19.0,9.0,9.0,113.2,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,3.0,10.0,18.0,6.0,11.16666667,2.0,4.0,10.0,16.0,7.0,10.57142857,0.0,7.6,2.6,0.32,2.0
1.0,1.0,1.0,9085.0,1.0,1.0,125.0,1.0,1.0,19.0,4.0,9.0,114.5,1.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,5.0,6.0,5.0,13.0,1.0,0.0,5.0,9.0,4.0,13.25,0.0,12.7,3.7,-1.7,3.0
2.0,39.0,1.0,9500.0,1.0,1.0,133.1,1.0,3.0,1.0,5.0,5.0,148.8,0.0,0.0,0.0,1.0,0.0,1.0,34.0,0.0,0.0,7.0,7.0,6.0,12.51333333,0.0,0.0,8.0,9.0,7.0,13.07142857,0.0,12.4,0.5,1.79,3.0
1.0,18.0,3.0,9070.0,1.0,1.0,134.0,1.0,1.0,1.0,3.0,4.0,121.4,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,2.0,12.0,0.0,0.0,6.0,6.0,1.0,11.0,0.0,9.4,-0.8,-3.12,1.0
1.0,44.0,1.0,9003.0,1.0,39.0,150.0,1.0,19.0,37.0,6.0,6.0,150.0,0.0,0.0,1.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,9.0,6.0,14.33333333,0.0,0.0,6.0,7.0,6.0,13.83333333,0.0,13.9,-0.3,0.79,3.0
1.0,1.0,5.0,9500.0,1.0,1.0,141.0,1.0,38.0,19.0,9.0,6.0,126.3,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,8.0,12.0,7.0,12.47142857,0.0,0.0,8.0,12.0,7.0,12.47142857,0.0,12.7,3.7,-1.7,3.0
1.0,1.0,2.0,9254.0,1.0,1.0,125.0,1.0,1.0,19.0,4.0,1.0,121.5,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,12.0,5.0,11.0,0.0,0.0,6.0,11.0,3.0,10.33333333,0.0,9.4,-0.8,-3.12,2.0
1.0,18.0,1.0,8014.0,0.0,1.0,137.0,1.0,1.0,1.0,4.0,3.0,123.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,13.0,4.0,10.8,0.0,0.0,6.0,15.0,4.0,12.0,0.0,16.2,0.3,-0.92,3.0
1.0,44.0,1.0,9119.0,1.0,39.0,160.0,1.0,3.0,38.0,2.0,3.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,2.0,6.0,6.0,2.0,16.0,0.0,2.0,7.0,7.0,2.0,16.0,0.0,8.9,1.4,3.51,1.0
1.0,44.0,1.0,171.0,1.0,39.0,140.0,1.0,1.0,1.0,9.0,9.0,140.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,2.0
1.0,17.0,2.0,9254.0,1.0,1.0,123.0,1.0,19.0,19.0,5.0,5.0,113.2,1.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,10.0,6.0,12.16666667,0.0,0.0,6.0,8.0,5.0,11.66666667,0.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,168.0,1.0,1.0,1.0,5.0,5.0,161.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,7.0,7.0,7.0,16.14285714,0.0,0.0,8.0,9.0,0.0,0.0,0.0,16.2,0.3,-0.92,1.0
1.0,17.0,5.0,9254.0,1.0,1.0,130.0,1.0,37.0,38.0,9.0,9.0,122.7,1.0,0.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,8.9,1.4,3.51,1.0
1.0,1.0,1.0,9238.0,1.0,1.0,135.0,1.0,1.0,1.0,4.0,4.0,122.8,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,7.0,6.0,14.0,0.0,0.0,6.0,7.0,6.0,14.0,0.0,10.8,1.4,1.74,3.0
1.0,1.0,1.0,9500.0,1.0,1.0,148.0,1.0,3.0,3.0,2.0,2.0,137.3,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,7.0,6.0,14.26666667,0.0,0.0,7.0,7.0,6.0,14.26666667,0.0,7.6,2.6,0.32,3.0
1.0,43.0,1.0,8014.0,0.0,1.0,131.0,1.0,19.0,37.0,8.0,5.0,125.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,6.0,13.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,125.0,1.0,19.0,38.0,9.0,8.0,118.3,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,8.0,12.0,5.0,12.002,1.0,0.0,8.0,12.0,5.0,12.002,1.0,10.8,1.4,1.74,1.0
1.0,43.0,1.0,9070.0,1.0,1.0,114.0,1.0,19.0,38.0,9.0,7.0,135.9,0.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,9.0,14.0,14.0,14.0,14.0,0.0,7.0,13.0,13.0,13.0,13.61538462,0.0,15.5,2.8,-4.06,3.0
2.0,39.0,2.0,9147.0,1.0,1.0,130.0,1.0,19.0,37.0,4.0,7.0,140.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,5.0,10.0,3.0,11.66666667,1.0,0.0,5.0,7.0,4.0,12.75,0.0,9.4,-0.8,-3.12,3.0
2.0,7.0,1.0,9254.0,1.0,3.0,130.0,1.0,1.0,3.0,4.0,3.0,130.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,1.0
2.0,7.0,1.0,9147.0,1.0,3.0,110.0,1.0,19.0,1.0,9.0,9.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,5.0,8.0,10.0,6.0,12.83333333,0.0,2.0,5.0,8.0,4.0,12.0,0.0,11.1,0.6,2.02,2.0
1.0,17.0,4.0,9773.0,1.0,1.0,127.0,1.0,2.0,37.0,9.0,9.0,115.8,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.9,1.4,3.51,1.0
